mv_TID21374_START12_SIZE6_FT_0_CLASS768,mv_TID21374_START34_SIZE1_FT_0_CLASS768,mv_TID21374_START48_SIZE2_FT_0_1_CLASS768,mv_TID21368_START48_SIZE3_FT_0_1_CLASS768,mv_TID21370_START8_SIZE6_FT_0_CLASS768,mv_TID21376_START30_SIZE4_FT_0_CLASS768,mv_TID21373_START54_SIZE1_FT_0_CLASS768,mv_TID21393_START0_SIZE4_FT_0_CLASS768,mv_TID21370_START37_SIZE6_FT_0_CLASS768,mv_TID21405_START4_SIZE4_FT_0_CLASS768,mv_TID21376_START2_SIZE1_FT_0_CLASS768,mv_TID21369_START7_SIZE1_FT_0_CLASS768,mv_TID21374_START8_SIZE3_FT_0_CLASS768,mv_TID21370_START62_SIZE4_FT_0_CLASS768,mv_TID21376_START11_SIZE5_FT_0_CLASS768,mv_TID21374_START50_SIZE1_FT_0_1_CLASS768,mv_TID21370_START25_SIZE6_FT_0_CLASS768,mv_TID21380_START29_SIZE2_FT_0_CLASS768,mv_TID21369_START34_SIZE1_FT_0_CLASS768,mv_TID21380_START0_SIZE1_FT_0_CLASS768,mv_TID21380_START19_SIZE5_FT_0_CLASS768,mv_TID21368_START35_SIZE2_FT_0_CLASS768,mv_TID21373_START42_SIZE6_FT_0_CLASS768,mv_TID21370_START24_SIZE1_FT_0_CLASS768,mv_TID21372_START16_SIZE5_FT_0_CLASS768,mv_TID21405_START10_SIZE1_FT_0_CLASS768,mv_TID21368_START37_SIZE5_FT_0_CLASS768,mv_TID21372_START3_SIZE4_FT_0_CLASS768,mv_TID21374_START0_SIZE3_FT_0_CLASS768,mv_TID21368_START19_SIZE1_FT_0_1_CLASS768,mv_TID21396_START8_SIZE4_FT_0_CLASS768,mv_TID21374_START35_SIZE1_FT_0_CLASS768,mv_TID21380_START7_SIZE5_FT_0_CLASS768,mv_TID21370_START50_SIZE6_FT_0_CLASS768,mv_TID21370_START14_SIZE3_FT_0_CLASS768,mv_TID21368_START14_SIZE5_FT_0_CLASS768,mv_TID21369_START54_SIZE6_FT_0_CLASS768,mv_TID21373_START11_SIZE6_FT_0_CLASS768,mv_TID21405_START8_SIZE2_FT_0_CLASS768,mv_TID21372_START7_SIZE1_FT_0_CLASS768,mv_TID21370_START17_SIZE6_FT_0_CLASS768,mv_TID21374_START51_SIZE1_FT_0_6_CLASS768,mv_TID21368_START25_SIZE5_FT_0_CLASS768,mv_TID21376_START8_SIZE3_FT_0_1_CLASS768,mv_TID21373_START29_SIZE1_FT_0_CLASS768,mv_TID21370_START23_SIZE1_FT_0_CLASS768,mv_TID21368_START42_SIZE5_FT_0_CLASS768,mv_TID21370_START0_SIZE1_FT_0_CLASS768,mv_TID21380_START12_SIZE1_FT_0_CLASS768,mv_TID21376_START23_SIZE2_FT_0_CLASS768,mv_TID21373_START23_SIZE6_FT_0_CLASS768,mv_TID21368_START9_SIZE5_FT_0_CLASS768,mv_TID21369_START42_SIZE6_FT_0_CLASS768,mv_TID21372_START21_SIZE5_FT_0_CLASS768,mv_TID21405_START11_SIZE2_FT_0_CLASS768,mv_TID21380_START1_SIZE4_FT_0_CLASS768,mv_TID21369_START35_SIZE6_FT_0_CLASS768,mv_TID21373_START30_SIZE6_FT_0_CLASS768,mv_TID21380_START24_SIZE5_FT_0_CLASS768,mv_TID21369_START8_SIZE6_FT_0_CLASS768,mv_TID21370_START44_SIZE6_FT_0_CLASS768,mv_TID21368_START1_SIZE5_FT_0_CLASS768,mv_TID21368_START47_SIZE1_FT_0_CLASS768,mv_TID21374_START43_SIZE4_FT_0_CLASS768,mv_TID21376_START21_SIZE1_FT_3_CLASS768,mv_TID21369_START26_SIZE6_FT_0_CLASS768,mv_TID21372_START31_SIZE5_FT_0_CLASS768,mv_TID21369_START60_SIZE3_FT_0_CLASS768,mv_TID21393_START8_SIZE2_FT_0_CLASS768,mv_TID21369_START1_SIZE6_FT_0_CLASS768,mv_TID21376_START22_SIZE1_FT_0_CLASS768,mv_TID21373_START6_SIZE5_FT_0_CLASS768,mv_TID21376_START0_SIZE2_FT_0_CLASS768,mv_TID21370_START31_SIZE6_FT_0_CLASS768,mv_TID21370_START43_SIZE1_FT_0_CLASS768,mv_TID21372_START36_SIZE1_FT_0_CLASS768,mv_TID21373_START0_SIZE6_FT_0_CLASS768,mv_TID21374_START47_SIZE1_FT_0_1_CLASS768,mv_TID21373_START48_SIZE6_FT_0_CLASS768,mv_TID21376_START7_SIZE1_FT_0_CLASS768,mv_TID21380_START5_SIZE1_FT_0_CLASS768,mv_TID21380_START18_SIZE1_FT_0_CLASS768,mv_TID21369_START32_SIZE2_FT_0_CLASS768,mv_TID21376_START16_SIZE1_FT_0_1_CLASS768,mv_TID21405_START0_SIZE4_FT_0_CLASS768,mv_TID21369_START0_SIZE1_FT_0_CLASS768,mv_TID21376_START5_SIZE1_FT_0_6_CLASS768,mv_TID21380_START13_SIZE5_FT_0_CLASS768,mv_TID21374_START3_SIZE5_FT_0_CLASS768,mv_TID21396_START4_SIZE4_FT_0_CLASS768,mv_TID21380_START6_SIZE1_FT_0_CLASS768,mv_TID21374_START18_SIZE1_FT_0_CLASS768,mv_TID21374_START26_SIZE6_FT_0_CLASS768,mv_TID21393_START4_SIZE4_FT_0_CLASS768,mv_TID21374_START25_SIZE1_FT_0_1_CLASS768,mv_TID21374_START52_SIZE6_FT_0_CLASS768,mv_TID21372_START8_SIZE5_FT_0_CLASS768,mv_TID21370_START56_SIZE6_FT_0_CLASS768,mv_TID21374_START58_SIZE2_FT_0_CLASS768,mv_TID21376_START3_SIZE2_FT_0_CLASS768,mv_TID21369_START41_SIZE1_FT_0_7_CLASS768,mv_TID21368_START6_SIZE3_FT_0_CLASS768,mv_TID21374_START36_SIZE6_FT_0_CLASS768,mv_TID21374_START32_SIZE1_FT_0_CLASS768,mv_TID21376_START17_SIZE4_FT_0_1_CLASS768,mv_TID21372_START0_SIZE3_FT_0_CLASS768,mv_TID21370_START1_SIZE5_FT_0_CLASS768,mv_TID21369_START14_SIZE6_FT_0_CLASS768,mv_TID21369_START20_SIZE6_FT_0_CLASS768,mv_TID21376_START25_SIZE5_FT_0_CLASS768,mv_TID21368_START30_SIZE5_FT_0_CLASS768,mv_TID21373_START17_SIZE6_FT_0_CLASS768,mv_TID21374_START19_SIZE6_FT_0_CLASS768,mv_TID21396_START0_SIZE4_FT_0_1_CLASS768,mv_TID21370_START6_SIZE2_FT_0_CLASS768,mv_TID21373_START55_SIZE4_FT_0_CLASS768,mv_TID21373_START36_SIZE6_FT_0_CLASS768,mv_TID21374_START11_SIZE1_FT_0_1_CLASS768,mv_TID21376_START6_SIZE1_FT_0_CLASS768,mv_TID21372_START26_SIZE5_FT_0_CLASS768,mv_TID21374_START42_SIZE1_FT_0_CLASS768,mv_TID21368_START20_SIZE5_FT_0_CLASS768,mv_TID21368_START0_SIZE1_FT_0_CLASS768,mv_TID21374_START33_SIZE1_FT_0_CLASS768,mv_TID21369_START48_SIZE6_FT_0_CLASS768,mv_TID21372_START13_SIZE3_FT_0_1_CLASS768,class
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,"84"
